"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","EXO_data"
"TIMESTAMP","RECORD","Chlorophyll","nLFCond","Pressure","Turbidity","Temp","Cond","D_OX","Sal","TSS","VerticalPosition","Depth","D_OX2","SpCond","WiperPosition","BPower","fDOM","D_OX3","Phycoerythrin","pH","CablePower","fDOM2","ORP","TDS","pH2"
"TS","RN","RFU","microSimens/cm","psia","FNU","C","microSimens/cm","%Sat","PSU","mg/L","m","m","%Local","microSimens/cm","volt","volt","QSU","mg/L","RFU","pH","volt","RFU","mV","mg/L","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-28 11:02:00",604,-0.18,483.5,-0.38,0.44,15.23,387.5,89.3,0.23,0,-0.083,-0.269,92.3,476.4,1.2,0,0.8,8.95,-0.12,8.5,10.9,0.27,238.5,309.6,-85.4
"2023-05-28 11:04:00",605,-0.18,483.9,-0.38,0.45,15.28,388.3,89.4,0.23,0,-0.083,-0.269,92.4,476.8,1.19,0,0.78,8.95,-0.11,8.5,10.9,0.26,238.4,309.9,-85.4
"2023-05-28 11:06:00",606,-0.18,483.9,-0.38,0.45,15.28,388.3,89.4,0.23,0,-0.083,-0.269,92.4,476.8,1.19,0,0.78,8.95,-0.11,8.5,10.9,0.26,238.4,309.9,-85.4
"2023-05-28 11:08:00",607,-0.18,484.4,-0.38,0.47,15.32,389,89.4,0.23,0,-0.083,-0.269,92.5,477.3,1.19,0,0.84,8.95,-0.1,8.5,10.92,0.28,238.3,310.2,-85.4
"2023-05-28 11:10:00",608,-0.18,484.4,-0.38,0.47,15.32,389,89.4,0.23,0,-0.083,-0.269,92.5,477.3,1.19,0,0.84,8.95,-0.1,8.5,10.92,0.28,238.3,310.2,-85.4
"2023-05-28 11:12:00",609,-0.18,484.8,-0.38,0.44,15.35,389.7,89.5,0.23,0,-0.084,-0.269,92.5,477.7,1.2,0,0.89,8.94,-0.12,8.5,10.97,0.3,238.2,310.5,-85.4
"2023-05-28 11:14:00",610,-0.18,484.8,-0.38,0.44,15.35,389.7,89.5,0.23,0,-0.084,-0.269,92.5,477.7,1.2,0,0.89,8.94,-0.12,8.5,10.97,0.3,238.2,310.5,-85.4
"2023-05-28 11:16:00",611,-0.18,484.8,-0.38,0.45,15.38,390,89.6,0.23,0,-0.084,-0.27,92.6,477.7,1.2,0,0.8,8.94,-0.14,8.5,11.04,0.27,238.1,310.5,-85.4
"2023-05-28 11:18:00",612,-0.18,484.8,-0.38,0.45,15.38,390,89.6,0.23,0,-0.084,-0.27,92.6,477.7,1.2,0,0.8,8.94,-0.14,8.5,11.04,0.27,238.1,310.5,-85.4
"2023-05-28 11:20:00",613,-0.18,484.2,-0.38,0.49,15.41,389.8,89.6,0.23,0,-0.084,-0.27,92.6,477.2,1.19,0,0.75,8.94,-0.16,8.5,11.1,0.25,238,310.2,-85.5
"2023-05-28 11:22:00",614,-0.18,484.2,-0.38,0.49,15.41,389.8,89.6,0.23,0,-0.084,-0.27,92.6,477.2,1.19,0,0.75,8.94,-0.16,8.5,11.1,0.25,238,310.2,-85.5
"2023-05-28 11:24:00",615,-0.18,484.2,-0.38,0.48,15.44,390,89.6,0.23,0,-0.084,-0.27,92.7,477.2,1.2,0,0.88,8.94,-0.15,8.5,11.11,0.29,238,310.2,-85.5
"2023-05-28 11:26:00",616,-0.18,484.2,-0.38,0.48,15.44,390,89.6,0.23,0,-0.084,-0.27,92.7,477.2,1.2,0,0.88,8.94,-0.15,8.5,11.11,0.29,238,310.2,-85.5
"2023-05-28 11:28:00",617,-0.18,485.5,-0.38,0.46,15.47,391.4,89.7,0.23,0,-0.084,-0.27,92.7,478.4,1.2,0,0.85,8.94,-0.15,8.5,11.13,0.28,238,311,-85.5
"2023-05-28 11:30:00",618,-0.18,485.5,-0.38,0.46,15.47,391.4,89.7,0.23,0,-0.084,-0.27,92.7,478.4,1.2,0,0.85,8.94,-0.15,8.5,11.13,0.28,238,311,-85.5
"2023-05-28 11:32:00",619,-0.18,485.7,-0.38,0.45,15.51,391.9,89.8,0.23,0,-0.085,-0.27,92.8,478.6,1.2,0,0.81,8.94,-0.11,8.5,11.13,0.27,238,311.1,-85.5
"2023-05-28 11:34:00",620,-0.18,485.7,-0.38,0.45,15.51,391.9,89.8,0.23,0,-0.085,-0.27,92.8,478.6,1.2,0,0.81,8.94,-0.11,8.5,11.13,0.27,238,311.1,-85.5
"2023-05-28 11:36:00",621,-0.18,484.7,-0.38,0.44,15.55,391.5,89.8,0.23,0,-0.085,-0.27,92.9,477.7,1.2,0,0.88,8.94,-0.12,8.5,11.09,0.29,237.9,310.5,-85.5
"2023-05-28 11:38:00",622,-0.18,484.7,-0.38,0.44,15.55,391.5,89.8,0.23,0,-0.085,-0.27,92.9,477.7,1.2,0,0.88,8.94,-0.12,8.5,11.09,0.29,237.9,310.5,-85.5
"2023-05-28 11:40:00",623,-0.18,484.8,-0.38,0.45,15.6,392,89.9,0.23,0,-0.085,-0.271,93,477.8,1.2,0,0.93,8.94,-0.13,8.5,11.07,0.31,237.9,310.6,-85.5
"2023-05-28 11:42:00",624,-0.18,484.8,-0.38,0.45,15.6,392,89.9,0.23,0,-0.085,-0.271,93,477.8,1.2,0,0.93,8.94,-0.13,8.5,11.07,0.31,237.9,310.6,-85.5
"2023-05-28 11:44:00",625,-0.17,485.6,-0.38,0.45,15.64,393.1,90,0.23,0,-0.085,-0.271,93,478.7,1.2,0,1,8.94,-0.14,8.49,11.03,0.33,237.8,311.1,-85.4
"2023-05-28 11:46:00",626,-0.17,485.6,-0.38,0.45,15.64,393.1,90,0.23,0,-0.085,-0.271,93,478.7,1.2,0,1,8.94,-0.14,8.49,11.03,0.33,237.8,311.1,-85.4
"2023-05-28 11:48:00",627,-0.18,485.5,-0.38,0.47,15.69,393.5,90.1,0.23,0,-0.085,-0.271,93.1,478.6,1.19,0,1.01,8.94,-0.12,8.49,11.13,0.34,237.6,311.1,-85.4
"2023-05-28 11:50:00",628,-0.18,485.5,-0.38,0.47,15.69,393.5,90.1,0.23,0,-0.085,-0.271,93.1,478.6,1.19,0,1.01,8.94,-0.12,8.49,11.13,0.34,237.6,311.1,-85.4
"2023-05-28 11:52:00",629,-0.18,484.3,-0.38,0.46,15.75,393.1,90.2,0.23,0,-0.085,-0.271,93.2,477.4,1.19,0,1,8.94,-0.13,8.49,11.17,0.33,237.5,310.3,-85.4
"2023-05-28 11:54:00",630,-0.18,484.3,-0.38,0.46,15.75,393.1,90.2,0.23,0,-0.085,-0.271,93.2,477.4,1.19,0,1,8.94,-0.13,8.49,11.17,0.33,237.5,310.3,-85.4
"2023-05-28 11:56:00",631,-0.18,484.6,-0.38,0.45,15.81,393.9,90.3,0.23,0,-0.086,-0.271,93.4,477.8,1.2,0,0.92,8.94,-0.13,8.49,11.05,0.31,237.3,310.6,-85.3
"2023-05-28 11:58:00",632,-0.18,484.6,-0.38,0.45,15.81,393.9,90.3,0.23,0,-0.086,-0.271,93.4,477.8,1.2,0,0.92,8.94,-0.13,8.49,11.05,0.31,237.3,310.6,-85.3
"2023-05-28 12:00:00",633,-0.17,484.8,-0.38,0.45,15.87,394.6,90.4,0.23,0,-0.086,-0.271,93.4,478,1.2,0,0.88,8.93,-0.12,8.49,11.05,0.29,237.1,310.7,-85.3
