"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","PAR_aqua1"
"TIMESTAMP","RECORD","PAR_aqua1_Den","PAR_aqua1_Tot"
"TS","RN","umol/s/m^2","umol/m^2"
"","","Smp","Smp"
"2023-05-31 07:00:05",63438,310.2016,1.551008
"2023-05-31 07:00:10",63439,251.035,1.255175
"2023-05-31 07:00:15",63440,300.9346,1.504673
"2023-05-31 07:00:20",63441,262.3056,1.311528
"2023-05-31 07:00:25",63442,330.2886,1.651443
"2023-05-31 07:00:30",63443,263.8233,1.319117
"2023-05-31 07:00:35",63444,310.8216,1.554108
"2023-05-31 07:00:40",63445,359.972,1.79986
"2023-05-31 07:00:45",63446,280.5147,1.402574
"2023-05-31 07:00:50",63447,190.5456,0.9527282
"2023-05-31 07:00:55",63448,225.4609,1.127305
"2023-05-31 07:01:00",63449,268.31,1.34155
"2023-05-31 07:01:05",63450,263.9449,1.319725
"2023-05-31 07:01:10",63451,310.4826,1.552413
"2023-05-31 07:01:15",63452,370.0391,1.850195
"2023-05-31 07:01:20",63453,296.9964,1.484982
"2023-05-31 07:01:25",63454,295.9646,1.479823
"2023-05-31 07:01:30",63455,354.7249,1.773625
"2023-05-31 07:01:35",63456,249.8981,1.249491
"2023-05-31 07:01:40",63457,341.4461,1.70723
"2023-05-31 07:01:45",63458,259.686,1.29843
"2023-05-31 07:01:50",63459,252.384,1.26192
"2023-05-31 07:01:55",63460,327.8869,1.639435
"2023-05-31 07:02:00",63461,296.2377,1.481189
"2023-05-31 07:02:05",63462,286.7451,1.433726
"2023-05-31 07:02:10",63463,285.4161,1.427081
"2023-05-31 07:02:15",63464,306.7369,1.533685
"2023-05-31 07:02:20",63465,294.033,1.470165
"2023-05-31 07:02:25",63466,281.6721,1.408361
"2023-05-31 07:02:30",63467,281.4755,1.407378
"2023-05-31 07:02:35",63468,338.9235,1.694617
"2023-05-31 07:02:40",63469,332.9249,1.664625
"2023-05-31 07:02:45",63470,338.3153,1.691577
"2023-05-31 07:02:50",63471,338.6823,1.693412
"2023-05-31 07:02:55",63472,382.3708,1.911854
"2023-05-31 07:03:00",63473,339.4631,1.697315
"2023-05-31 07:03:05",63474,277.8191,1.389096
"2023-05-31 07:03:10",63475,316.9241,1.584621
