"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.8 CR1000X R350 through SDM-SIO1A.CR1X","55658","PAR_atmo"
"TIMESTAMP","RECORD","PAR_atmo_Den","PAR_atmo_Tot"
"TS","RN","umol/s/m^2","umol/m^2"
"","","Smp","Smp"
"2023-05-26 15:02:30",0,18.25607,0.09128036
"2023-05-26 15:02:35",1,18.05508,0.09027542
"2023-05-26 15:02:40",2,18.25691,0.09128458
"2023-05-26 15:02:45",3,18.23117,0.09115584
"2023-05-26 15:02:50",4,18.17763,0.09088814
"2023-05-26 15:02:55",5,18.19658,0.09098293
"2023-05-26 15:03:00",6,18.09942,0.09049713
"2023-05-26 15:03:05",7,18.14242,0.09071209
"2023-05-26 15:03:10",8,18.08771,0.09043856
"2023-05-26 15:03:15",9,18.13294,0.09066469
"2023-05-26 15:03:20",10,18.13932,0.09069662
"2023-05-26 15:03:25",11,18.20817,0.09104084
"2023-05-26 15:03:30",12,17.99039,0.08995194
"2023-05-26 15:03:35",13,18.0357,0.09017848
"2023-05-26 15:03:40",14,18.33862,0.09169314
"2023-05-26 15:03:45",15,18.19459,0.09097296
"2023-05-26 15:03:50",16,17.99368,0.08996842
"2023-05-26 15:03:55",17,18.29404,0.09147021
"2023-05-26 15:04:00",18,18.36135,0.09180678
"2023-05-26 15:04:05",19,18.0342,0.09017103
"2023-05-26 15:04:10",20,17.95444,0.08977218
"2023-05-26 15:04:15",21,18.05051,0.09025258
"2023-05-26 15:04:20",22,18.04364,0.09021823
"2023-05-26 15:04:25",23,18.1504,0.09075202
"2023-05-26 15:04:30",24,18.10755,0.09053775
"2023-05-26 15:04:35",25,18.23869,0.09119346
"2023-05-26 15:04:40",26,18.13281,0.09066406
"2023-05-26 15:04:45",27,18.08943,0.09044718
"2023-05-26 15:04:50",28,18.21808,0.09109042
"2023-05-26 15:04:55",29,18.25471,0.09127358
"2023-05-26 15:05:00",30,18.14407,0.09072035
"2023-05-26 15:05:05",31,18.08294,0.09041469
"2023-05-26 15:05:10",32,18.20641,0.09103203
"2023-05-26 15:05:15",33,18.01614,0.0900807
"2023-05-26 15:05:20",34,18.17724,0.09088622
"2023-05-26 15:05:25",35,17.88074,0.08940371
"2023-05-26 15:05:30",36,18.28384,0.09141922
"2023-05-26 15:05:35",37,18.19873,0.09099367
