"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","30682","PAR_atmo"
"TIMESTAMP","RECORD","PAR_atmo_Den","PAR_atmo_Tot"
"TS","RN","umol/s/m^2","umol/m^2"
"","","Smp","Smp"
"2023-05-30 07:00:05",46158,503.5926,2.517963
"2023-05-30 07:00:10",46159,503.4403,2.517202
"2023-05-30 07:00:15",46160,503.4783,2.517392
"2023-05-30 07:00:20",46161,503.6743,2.518372
"2023-05-30 07:00:25",46162,503.7125,2.518563
"2023-05-30 07:00:30",46163,503.9424,2.519712
"2023-05-30 07:00:35",46164,503.8638,2.519319
"2023-05-30 07:00:40",46165,504.1418,2.520709
"2023-05-30 07:00:45",46166,504.3449,2.521725
"2023-05-30 07:00:50",46167,504.7513,2.523757
"2023-05-30 07:00:55",46168,504.835,2.524175
"2023-05-30 07:01:00",46169,505.3219,2.52661
"2023-05-30 07:01:05",46170,505.5455,2.527728
"2023-05-30 07:01:10",46171,505.661,2.528305
"2023-05-30 07:01:15",46172,506.2713,2.531357
"2023-05-30 07:01:20",46173,507.1881,2.535941
"2023-05-30 07:01:25",46174,508.0718,2.540359
"2023-05-30 07:01:30",46175,509.027,2.545135
"2023-05-30 07:01:35",46176,510.0506,2.550253
"2023-05-30 07:01:40",46177,511,2.555
"2023-05-30 07:01:45",46178,511.9443,2.559722
"2023-05-30 07:01:50",46179,513.3333,2.566667
"2023-05-30 07:01:55",46180,514.8002,2.574001
"2023-05-30 07:02:00",46181,516.1553,2.580776
"2023-05-30 07:02:05",46182,517.1235,2.585618
"2023-05-30 07:02:10",46183,518.6229,2.593114
"2023-05-30 07:02:15",46184,520.1028,2.600514
"2023-05-30 07:02:20",46185,521.3388,2.606694
"2023-05-30 07:02:25",46186,522.6856,2.613428
"2023-05-30 07:02:30",46187,524.3152,2.621576
"2023-05-30 07:02:35",46188,525.707,2.628535
"2023-05-30 07:02:40",46189,527.4012,2.637006
"2023-05-30 07:02:45",46190,529.2871,2.646436
"2023-05-30 07:02:50",46191,531.4139,2.65707
"2023-05-30 07:02:55",46192,533.5663,2.667832
"2023-05-30 07:03:00",46193,535.9306,2.679653
"2023-05-30 07:03:05",46194,538.1872,2.690936
"2023-05-30 07:03:10",46195,540.3008,2.701504
