"TOA5","11167","CR1000X","11167","CR1000X.Std.03.02","$*$#$#$*$$.$#$","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-26 14:18:28.5",0,0,0,0,0,0,0
"2023-05-26 14:18:28.55",1,0,0,0,0,0,0
"2023-05-26 14:18:28.6",2,0,0,0,0,0,0
"2023-05-26 14:18:28.65",3,0,0,0,0,0,0
"2023-05-26 14:18:28.7",4,0,0,0,0,0,0
"2023-05-26 14:18:28.75",5,0,0,0,0,0,0
"2023-05-26 14:18:28.8",6,0,0,0,0,0,0
"2023-05-26 14:18:28.85",7,0,0,0,0,0,0
"2023-05-26 14:18:28.9",8,0,0,0,0,0,0
"2023-05-26 14:18:28.95",9,0,0,0,0,0,0
"2023-05-26 14:18:29",10,0,0,0,0,0,0
"2023-05-26 14:18:29.05",11,0,0,0,0,0,0
"2023-05-26 14:18:29.1",12,0,0,0,0,0,0
"2023-05-26 14:18:29.15",13,0,0,0,0,0,0
"2023-05-26 14:18:29.2",14,0,0,0,0,0,0
"2023-05-26 14:18:29.25",15,0,0,0,0,0,0
"2023-05-26 14:18:29.3",16,0,0,0,0,0,0
"2023-05-26 14:18:29.35",17,0,0,0,0,0,0
"2023-05-26 14:18:29.4",18,0,0,0,0,0,0
"2023-05-26 14:18:29.45",19,0,0,0,0,0,0
"2023-05-26 14:18:29.5",20,0,0,0,0,0,0
"2023-05-26 14:18:29.55",21,0,0,0,0,0,0
"2023-05-26 14:18:29.6",22,0,0,0,0,0,0
"2023-05-26 14:18:29.65",23,0,0,0,0,0,0
"2023-05-26 14:18:29.7",24,0,0,0,0,0,0
"2023-05-26 14:18:29.75",25,0,0,0,0,0,0
"2023-05-26 14:18:29.8",26,0,0,0,0,0,0
"2023-05-26 14:18:29.85",27,0,0,0,0,0,0
"2023-05-26 14:18:29.9",28,0,0,0,0,0,0
"2023-05-26 14:18:29.95",29,0,0,0,0,0,0
"2023-05-26 14:18:30",30,0,0,0,0,0,0
"2023-05-26 14:18:30.05",31,0,0,0,0,0,0
"2023-05-26 14:18:30.1",32,0,0,0,0,0,0
"2023-05-26 14:18:30.15",33,0,0,0,0,0,0
"2023-05-26 14:18:30.2",34,0,0,0,0,0,0
"2023-05-26 14:18:30.25",35,0,0,0,0,0,0
"2023-05-26 14:18:30.3",36,0,0,0,0,0,0
"2023-05-26 14:18:30.35",37,0,0,0,0,0,0
"2023-05-26 14:18:30.4",38,0,0,0,0,0,0
"2023-05-26 14:18:30.45",39,0,0,0,0,0,0
"2023-05-26 14:18:30.5",40,0,0,0,0,0,0
"2023-05-26 14:18:30.55",41,0,0,0,0,0,0
"2023-05-26 14:18:30.6",42,0,0,0,0,0,0
"2023-05-26 14:18:30.65",43,0,0,0,0,0,0
"2023-05-26 14:18:30.7",44,0,0,0,0,0,0
"2023-05-26 14:18:30.75",45,0,0,0,0,0,0
"2023-05-26 14:18:30.8",46,0,0,0,0,0,0
"2023-05-26 14:18:30.85",47,0,0,0,0,0,0
"2023-05-26 14:18:30.9",48,0,0,0,0,0,0
"2023-05-26 14:18:30.95",49,0,0,0,0,0,0
"2023-05-26 14:18:31",50,0,0,0,0,0,0
"2023-05-26 14:18:31.05",51,0,0,0,0,0,0
"2023-05-26 14:18:31.1",52,0,0,0,0,0,0
"2023-05-26 14:18:31.15",53,0,0,0,0,0,0
"2023-05-26 14:18:31.2",54,0,0,0,0,0,0
"2023-05-26 14:18:31.25",55,0,0,0,0,0,0
"2023-05-26 14:18:31.3",56,0,0,0,0,0,0
"2023-05-26 14:18:31.35",57,0,0,0,0,0,0
"2023-05-26 14:18:31.4",58,0,0,0,0,0,0
"2023-05-26 14:18:31.45",59,0,0,0,0,0,0
"2023-05-26 14:18:31.5",60,0,0,0,0,0,0
"2023-05-26 14:18:31.55",61,0,0,0,0,0,0
"2023-05-26 14:18:31.6",62,0,0,0,0,0,0
"2023-05-26 14:18:31.65",63,0,0,0,0,0,0
"2023-05-26 14:18:31.7",64,0,0,0,0,0,0
"2023-05-26 14:18:31.75",65,0,0,0,0,0,0
"2023-05-26 14:18:31.8",66,0,0,0,0,0,0
"2023-05-26 14:18:31.85",67,0,0,0,0,0,0
"2023-05-26 14:18:31.9",68,0,0,0,0,0,0
"2023-05-26 14:18:31.95",69,0,0,0,0,0,0
"2023-05-26 14:18:32",70,0,0,0,0,0,0
"2023-05-26 14:18:32.05",71,0,0,0,0,0,0
"2023-05-26 14:18:32.1",72,0,0,0,0,0,0
"2023-05-26 14:18:32.15",73,0,0,0,0,0,0
"2023-05-26 14:18:32.2",74,0,0,0,0,0,0
"2023-05-26 14:18:32.25",75,0,0,0,0,0,0
"2023-05-26 14:18:32.3",76,0,0,0,0,0,0
"2023-05-26 14:18:32.35",77,0,0,0,0,0,0
"2023-05-26 14:18:32.4",78,0,0,0,0,0,0
"2023-05-26 14:18:32.45",79,0,0,0,0,0,0
"2023-05-26 14:18:32.5",80,0,0,0,0,0,0
"2023-05-26 14:18:32.55",81,0,0,0,0,0,0
