"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.15 CR1000X R350 and IMU through SDM-SIO1A.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-26 14:41:01.7",0,0,0,0,0,0,0
"2023-05-26 14:41:01.75",1,0,0,0,0,0,0
"2023-05-26 14:41:01.8",2,0,0,0,0,0,0
"2023-05-26 14:41:01.85",3,0,0,0,0,0,0
"2023-05-26 14:41:01.9",4,0,0,0,0,0,0
"2023-05-26 14:41:01.95",5,0,0,0,0,0,0
"2023-05-26 14:41:02",6,0,0,0,0,0,0
"2023-05-26 14:41:02.05",7,0,0,0,0,0,0
"2023-05-26 14:41:02.1",8,0,0,0,0,0,0
"2023-05-26 14:41:02.15",9,0,0,0,0,0,0
"2023-05-26 14:41:02.2",10,0,0,0,0,0,0
"2023-05-26 14:41:02.25",11,0,0,0,0,0,0
"2023-05-26 14:41:02.3",12,0,0,0,0,0,0
"2023-05-26 14:41:02.35",13,0,0,0,0,0,0
"2023-05-26 14:41:02.4",14,0,0,0,0,0,0
"2023-05-26 14:41:02.45",15,0,0,0,0,0,0
"2023-05-26 14:41:02.5",16,0,0,0,0,0,0
"2023-05-26 14:41:02.55",17,0,0,0,0,0,0
"2023-05-26 14:41:02.6",18,0,0,0,0,0,0
"2023-05-26 14:41:02.65",19,0,0,0,0,0,0
"2023-05-26 14:41:02.7",20,0,0,0,0,0,0
"2023-05-26 14:41:02.75",21,0,0,0,0,0,0
"2023-05-26 14:41:02.8",22,0,0,0,0,0,0
"2023-05-26 14:41:02.85",23,0,0,0,0,0,0
"2023-05-26 14:41:02.9",24,0,0,0,0,0,0
"2023-05-26 14:41:02.95",25,0,0,0,0,0,0
"2023-05-26 14:41:03",26,0,0,0,0,0,0
"2023-05-26 14:41:03.05",27,0,0,0,0,0,0
"2023-05-26 14:41:03.1",28,0,0,0,0,0,0
"2023-05-26 14:41:03.15",29,0,0,0,0,0,0
"2023-05-26 14:41:03.2",30,0,0,0,0,0,0
"2023-05-26 14:41:03.25",31,0,0,0,0,0,0
"2023-05-26 14:41:03.3",32,0,0,0,0,0,0
"2023-05-26 14:41:03.35",33,0,0,0,0,0,0
"2023-05-26 14:41:03.4",34,0,0,0,0,0,0
"2023-05-26 14:41:03.45",35,0,0,0,0,0,0
"2023-05-26 14:41:03.5",36,0,0,0,0,0,0
"2023-05-26 14:41:03.55",37,0,0,0,0,0,0
"2023-05-26 14:41:03.6",38,0,0,0,0,0,0
"2023-05-26 14:41:03.65",39,0,0,0,0,0,0
"2023-05-26 14:41:03.7",40,0,0,0,0,0,0
"2023-05-26 14:41:03.75",41,0,0,0,0,0,0
"2023-05-26 14:41:03.8",42,0,0,0,0,0,0
"2023-05-26 14:41:03.85",43,0,0,0,0,0,0
"2023-05-26 14:41:03.9",44,0,0,0,0,0,0
"2023-05-26 14:41:03.95",45,0,0,0,0,0,0
"2023-05-26 14:41:04",46,0,0,0,0,0,0
"2023-05-26 14:41:04.05",47,0,0,0,0,0,0
"2023-05-26 14:41:04.1",48,0,0,0,0,0,0
"2023-05-26 14:41:04.15",49,0,0,0,0,0,0
"2023-05-26 14:41:04.2",50,0,0,0,0,0,0
"2023-05-26 14:41:04.25",51,0,0,0,0,0,0
"2023-05-26 14:41:04.3",52,0,0,0,0,0,0
"2023-05-26 14:41:04.35",53,0,0,0,0,0,0
"2023-05-26 14:41:04.4",54,0,0,0,0,0,0
"2023-05-26 14:41:04.45",55,0,0,0,0,0,0
"2023-05-26 14:41:04.5",56,0,0,0,0,0,0
"2023-05-26 14:41:04.55",57,0,0,0,0,0,0
"2023-05-26 14:41:04.6",58,0,0,0,0,0,0
"2023-05-26 14:41:04.65",59,0,0,0,0,0,0
"2023-05-26 14:41:04.7",60,0,0,0,0,0,0
"2023-05-26 14:41:04.75",61,0,0,0,0,0,0
"2023-05-26 14:41:04.8",62,0,0,0,0,0,0
"2023-05-26 14:41:04.85",63,0,0,0,0,0,0
"2023-05-26 14:41:04.9",64,0,0,0,0,0,0
"2023-05-26 14:41:04.95",65,0,0,0,0,0,0
"2023-05-26 14:41:05",66,0,0,0,0,0,0
"2023-05-26 14:41:05.05",67,0,0,0,0,0,0
"2023-05-26 14:41:05.1",68,0,0,0,0,0,0
"2023-05-26 14:41:05.15",69,0,0,0,0,0,0
"2023-05-26 14:41:05.2",70,0,0,0,0,0,0
"2023-05-26 14:41:05.25",71,0,0,0,0,0,0
"2023-05-26 14:41:05.3",72,0,0,0,0,0,0
"2023-05-26 14:41:05.35",73,0,0,0,0,0,0
"2023-05-26 14:41:05.4",74,0,0,0,0,0,0
"2023-05-26 14:41:05.45",75,0,0,0,0,0,0
"2023-05-26 14:41:05.5",76,0,0,0,0,0,0
"2023-05-26 14:41:05.55",77,0,0,0,0,0,0
"2023-05-26 14:41:05.6",78,0,0,0,0,0,0
"2023-05-26 14:41:05.65",79,0,0,0,0,0,0
"2023-05-26 14:41:05.7",80,0,0,0,0,0,0
