"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.8 CR1000X R350 through SDM-SIO1A.CR1X","55658","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-26 15:02:29.85",0,0,0,0,0,0,0
"2023-05-26 15:02:29.9",1,0,0,0,0,0,0
"2023-05-26 15:02:29.95",2,0,0,0,0,0,0
"2023-05-26 15:02:30",3,0,0,0,0,0,0
"2023-05-26 15:02:30.05",4,0,0,0,0,0,0
"2023-05-26 15:02:30.1",5,0,0,0,0,0,0
"2023-05-26 15:02:30.15",6,0,0,0,0,0,0
"2023-05-26 15:02:30.2",7,0,0,0,0,0,0
"2023-05-26 15:02:30.25",8,0,0,0,0,0,0
"2023-05-26 15:02:30.3",9,0,0,0,0,0,0
"2023-05-26 15:02:30.35",10,0,0,0,0,0,0
"2023-05-26 15:02:30.4",11,0,0,0,0,0,0
"2023-05-26 15:02:30.45",12,0,0,0,0,0,0
"2023-05-26 15:02:30.5",13,0,0,0,0,0,0
"2023-05-26 15:02:30.55",14,0,0,0,0,0,0
"2023-05-26 15:02:30.6",15,0,0,0,0,0,0
"2023-05-26 15:02:30.65",16,0,0,0,0,0,0
"2023-05-26 15:02:30.7",17,0,0,0,0,0,0
"2023-05-26 15:02:30.75",18,0,0,0,0,0,0
"2023-05-26 15:02:30.8",19,0,0,0,0,0,0
"2023-05-26 15:02:30.85",20,0,0,0,0,0,0
"2023-05-26 15:02:30.9",21,0,0,0,0,0,0
"2023-05-26 15:02:30.95",22,0,0,0,0,0,0
"2023-05-26 15:02:31",23,0,0,0,0,0,0
"2023-05-26 15:02:31.05",24,0,0,0,0,0,0
"2023-05-26 15:02:31.1",25,0,0,0,0,0,0
"2023-05-26 15:02:31.15",26,0,0,0,0,0,0
"2023-05-26 15:02:31.2",27,0,0,0,0,0,0
"2023-05-26 15:02:31.25",28,0,0,0,0,0,0
"2023-05-26 15:02:31.3",29,0,0,0,0,0,0
"2023-05-26 15:02:31.35",30,0,0,0,0,0,0
"2023-05-26 15:02:31.4",31,0,0,0,0,0,0
"2023-05-26 15:02:31.45",32,0,0,0,0,0,0
"2023-05-26 15:02:31.5",33,0,0,0,0,0,0
"2023-05-26 15:02:31.55",34,0,0,0,0,0,0
"2023-05-26 15:02:31.6",35,0,0,0,0,0,0
"2023-05-26 15:02:31.65",36,0,0,0,0,0,0
"2023-05-26 15:02:31.7",37,0,0,0,0,0,0
"2023-05-26 15:02:31.75",38,0,0,0,0,0,0
"2023-05-26 15:02:31.8",39,0,0,0,0,0,0
"2023-05-26 15:02:31.85",40,0,0,0,0,0,0
"2023-05-26 15:02:31.9",41,0,0,0,0,0,0
"2023-05-26 15:02:31.95",42,0,0,0,0,0,0
"2023-05-26 15:02:32",43,0,0,0,0,0,0
"2023-05-26 15:02:32.05",44,0,0,0,0,0,0
"2023-05-26 15:02:32.1",45,0,0,0,0,0,0
"2023-05-26 15:02:32.15",46,0,0,0,0,0,0
"2023-05-26 15:02:32.2",47,0,0,0,0,0,0
"2023-05-26 15:02:32.25",48,0,0,0,0,0,0
"2023-05-26 15:02:32.3",49,0,0,0,0,0,0
"2023-05-26 15:02:32.35",50,0,0,0,0,0,0
"2023-05-26 15:02:32.4",51,0,0,0,0,0,0
"2023-05-26 15:02:32.45",52,0,0,0,0,0,0
"2023-05-26 15:02:32.5",53,0,0,0,0,0,0
"2023-05-26 15:02:32.55",54,0,0,0,0,0,0
"2023-05-26 15:02:32.6",55,0,0,0,0,0,0
"2023-05-26 15:02:32.65",56,0,0,0,0,0,0
"2023-05-26 15:02:32.7",57,0,0,0,0,0,0
"2023-05-26 15:02:32.75",58,0,0,0,0,0,0
"2023-05-26 15:02:32.8",59,0,0,0,0,0,0
"2023-05-26 15:02:32.85",60,0,0,0,0,0,0
"2023-05-26 15:02:32.9",61,0,0,0,0,0,0
"2023-05-26 15:02:32.95",62,0,0,0,0,0,0
"2023-05-26 15:02:33",63,0,0,0,0,0,0
"2023-05-26 15:02:33.05",64,0,0,0,0,0,0
"2023-05-26 15:02:33.1",65,0,0,0,0,0,0
"2023-05-26 15:02:33.15",66,0,0,0,0,0,0
"2023-05-26 15:02:33.2",67,0,0,0,0,0,0
"2023-05-26 15:02:33.25",68,0,0,0,0,0,0
"2023-05-26 15:02:33.3",69,0,0,0,0,0,0
"2023-05-26 15:02:33.35",70,0,0,0,0,0,0
"2023-05-26 15:02:33.4",71,0,0,0,0,0,0
"2023-05-26 15:02:33.45",72,0,0,0,0,0,0
"2023-05-26 15:02:33.5",73,0,0,0,0,0,0
"2023-05-26 15:02:33.55",74,0,0,0,0,0,0
"2023-05-26 15:02:33.6",75,0,0,0,0,0,0
"2023-05-26 15:02:33.65",76,0,0,0,0,0,0
"2023-05-26 15:02:33.7",77,0,0,0,0,0,0
"2023-05-26 15:02:33.75",78,0,0,0,0,0,0
"2023-05-26 15:02:33.8",79,0,0,0,0,0,0
"2023-05-26 15:02:33.85",80,0,0,0,0,0,0
