"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.29 HS50, MS3, IMU Together.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 08:43:23.2",0,0,0,0,0,0,0
"2023-05-27 08:43:23.25",1,0,0,0,0,0,0
"2023-05-27 08:43:23.3",2,0,0,0,0,0,0
"2023-05-27 08:43:23.35",3,0,0,0,0,0,0
"2023-05-27 08:43:23.4",4,0,0,0,0,0,0
"2023-05-27 08:43:23.45",5,0,0,0,0,0,0
"2023-05-27 08:43:23.5",6,0,0,0,0,0,0
"2023-05-27 08:43:23.55",7,0,0,0,0,0,0
"2023-05-27 08:43:23.6",8,0,0,0,0,0,0
"2023-05-27 08:43:23.65",9,0,0,0,0,0,0
"2023-05-27 08:43:23.7",10,0,0,0,0,0,0
"2023-05-27 08:43:23.75",11,0,0,0,0,0,0
"2023-05-27 08:43:23.8",12,0,0,0,0,0,0
"2023-05-27 08:43:23.85",13,0,0,0,0,0,0
"2023-05-27 08:43:23.9",14,0,0,0,0,0,0
"2023-05-27 08:43:23.95",15,0,0,0,0,0,0
"2023-05-27 08:43:24",16,0,0,0,0,0,0
"2023-05-27 08:43:24.05",17,0,0,0,0,0,0
"2023-05-27 08:43:24.1",18,0,0,0,0,0,0
"2023-05-27 08:43:24.15",19,0,0,0,0,0,0
"2023-05-27 08:43:24.2",20,0,0,0,0,0,0
"2023-05-27 08:43:24.25",21,0,0,0,0,0,0
"2023-05-27 08:43:24.3",22,0,0,0,0,0,0
"2023-05-27 08:43:24.35",23,0,0,0,0,0,0
"2023-05-27 08:43:24.4",24,0,0,0,0,0,0
"2023-05-27 08:43:24.45",25,0,0,0,0,0,0
"2023-05-27 08:43:24.5",26,0,0,0,0,0,0
"2023-05-27 08:43:24.55",27,0,0,0,0,0,0
"2023-05-27 08:43:24.6",28,0,0,0,0,0,0
"2023-05-27 08:43:24.65",29,0,0,0,0,0,0
"2023-05-27 08:43:24.7",30,0,0,0,0,0,0
"2023-05-27 08:43:24.75",31,0,0,0,0,0,0
"2023-05-27 08:43:24.8",32,0,0,0,0,0,0
"2023-05-27 08:43:24.85",33,0,0,0,0,0,0
"2023-05-27 08:43:24.9",34,0,0,0,0,0,0
"2023-05-27 08:43:24.95",35,0,0,0,0,0,0
"2023-05-27 08:43:25",36,0,0,0,0,0,0
"2023-05-27 08:43:25.05",37,0,0,0,0,0,0
"2023-05-27 08:43:25.1",38,0,0,0,0,0,0
"2023-05-27 08:43:25.15",39,0,0,0,0,0,0
"2023-05-27 08:43:25.2",40,0,0,0,0,0,0
"2023-05-27 08:43:25.25",41,0,0,0,0,0,0
"2023-05-27 08:43:25.3",42,0,0,0,0,0,0
"2023-05-27 08:43:25.35",43,0,0,0,0,0,0
"2023-05-27 08:43:25.4",44,0,0,0,0,0,0
"2023-05-27 08:43:25.45",45,0,0,0,0,0,0
"2023-05-27 08:43:25.5",46,0,0,0,0,0,0
"2023-05-27 08:43:25.55",47,0,0,0,0,0,0
"2023-05-27 08:43:25.6",48,0,0,0,0,0,0
"2023-05-27 08:43:25.65",49,0,0,0,0,0,0
"2023-05-27 08:43:25.7",50,0,0,0,0,0,0
"2023-05-27 08:43:25.75",51,0,0,0,0,0,0
"2023-05-27 08:43:25.8",52,0,0,0,0,0,0
"2023-05-27 08:43:25.85",53,0,0,0,0,0,0
"2023-05-27 08:43:25.9",54,0,0,0,0,0,0
"2023-05-27 08:43:25.95",55,0,0,0,0,0,0
"2023-05-27 08:43:26",56,0,0,0,0,0,0
"2023-05-27 08:43:26.05",57,0,0,0,0,0,0
"2023-05-27 08:43:26.1",58,0,0,0,0,0,0
"2023-05-27 08:43:26.15",59,0,0,0,0,0,0
"2023-05-27 08:43:26.2",60,0,0,0,0,0,0
"2023-05-27 08:43:26.25",61,0,0,0,0,0,0
"2023-05-27 08:43:26.3",62,0,0,0,0,0,0
"2023-05-27 08:43:26.35",63,0,0,0,0,0,0
"2023-05-27 08:43:26.4",64,0,0,0,0,0,0
"2023-05-27 08:43:26.45",65,0,0,0,0,0,0
"2023-05-27 08:43:26.5",66,0,0,0,0,0,0
"2023-05-27 08:43:26.55",67,0,0,0,0,0,0
"2023-05-27 08:43:26.6",68,0,0,0,0,0,0
"2023-05-27 08:43:26.65",69,0,0,0,0,0,0
"2023-05-27 08:43:26.7",70,0,0,0,0,0,0
"2023-05-27 08:43:26.75",71,0,0,0,0,0,0
"2023-05-27 08:43:26.8",72,0,0,0,0,0,0
"2023-05-27 08:43:26.85",73,0,0,0,0,0,0
"2023-05-27 08:43:26.9",74,0,0,0,0,0,0
"2023-05-27 08:43:26.95",75,0,0,0,0,0,0
"2023-05-27 08:43:27",76,0,0,0,0,0,0
"2023-05-27 08:43:27.05",77,0,0,0,0,0,0
"2023-05-27 08:43:27.1",78,0,0,0,0,0,0
"2023-05-27 08:43:27.15",79,0,0,0,0,0,0
"2023-05-27 08:43:27.2",80,0,0,0,0,0,0
