"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 08:58:20",0,0,0,0,0,0,0
"2023-05-27 08:58:20.05",1,0,0,0,0,0,0
"2023-05-27 08:58:20.1",2,0,0,0,0,0,0
"2023-05-27 08:58:20.15",3,0,0,0,0,0,0
"2023-05-27 08:58:20.2",4,0,0,0,0,0,0
"2023-05-27 08:58:20.25",5,0,0,0,0,0,0
"2023-05-27 08:58:20.3",6,0,0,0,0,0,0
"2023-05-27 08:58:20.35",7,0,0,0,0,0,0
"2023-05-27 08:58:20.4",8,0,0,0,0,0,0
"2023-05-27 08:58:20.45",9,0,0,0,0,0,0
"2023-05-27 08:58:20.5",10,0,0,0,0,0,0
"2023-05-27 08:58:20.55",11,0,0,0,0,0,0
"2023-05-27 08:58:20.6",12,0,0,0,0,0,0
"2023-05-27 08:58:20.65",13,0,0,0,0,0,0
"2023-05-27 08:58:20.7",14,0,0,0,0,0,0
"2023-05-27 08:58:20.75",15,0,0,0,0,0,0
"2023-05-27 08:58:20.8",16,0,0,0,0,0,0
"2023-05-27 08:58:20.85",17,0,0,0,0,0,0
"2023-05-27 08:58:20.9",18,0,0,0,0,0,0
"2023-05-27 08:58:20.95",19,0,0,0,0,0,0
"2023-05-27 08:58:21",20,0,0,0,0,0,0
"2023-05-27 08:58:21.05",21,0,0,0,0,0,0
"2023-05-27 08:58:21.1",22,0,0,0,0,0,0
"2023-05-27 08:58:21.15",23,0,0,0,0,0,0
"2023-05-27 08:58:21.2",24,0,0,0,0,0,0
"2023-05-27 08:58:21.25",25,0,0,0,0,0,0
"2023-05-27 08:58:21.3",26,0,0,0,0,0,0
"2023-05-27 08:58:21.35",27,0,0,0,0,0,0
"2023-05-27 08:58:21.4",28,0,0,0,0,0,0
"2023-05-27 08:58:21.45",29,0,0,0,0,0,0
"2023-05-27 08:58:21.5",30,0,0,0,0,0,0
"2023-05-27 08:58:21.55",31,0,0,0,0,0,0
"2023-05-27 08:58:21.6",32,0,0,0,0,0,0
"2023-05-27 08:58:21.65",33,0,0,0,0,0,0
"2023-05-27 08:58:21.7",34,0,0,0,0,0,0
"2023-05-27 08:58:21.75",35,0,0,0,0,0,0
"2023-05-27 08:58:21.8",36,0,0,0,0,0,0
"2023-05-27 08:58:21.85",37,0,0,0,0,0,0
"2023-05-27 08:58:21.9",38,0,0,0,0,0,0
"2023-05-27 08:58:21.95",39,0,0,0,0,0,0
"2023-05-27 08:58:22",40,0,0,0,0,0,0
"2023-05-27 08:58:22.05",41,0,0,0,0,0,0
"2023-05-27 08:58:22.1",42,0,0,0,0,0,0
"2023-05-27 08:58:22.15",43,0,0,0,0,0,0
"2023-05-27 08:58:22.2",44,0,0,0,0,0,0
"2023-05-27 08:58:22.25",45,0,0,0,0,0,0
"2023-05-27 08:58:22.3",46,0,0,0,0,0,0
"2023-05-27 08:58:22.35",47,0,0,0,0,0,0
"2023-05-27 08:58:22.4",48,0,0,0,0,0,0
"2023-05-27 08:58:22.45",49,0,0,0,0,0,0
"2023-05-27 08:58:22.5",50,0,0,0,0,0,0
"2023-05-27 08:58:22.55",51,0,0,0,0,0,0
"2023-05-27 08:58:22.6",52,0,0,0,0,0,0
"2023-05-27 08:58:22.65",53,0,0,0,0,0,0
"2023-05-27 08:58:22.7",54,0,0,0,0,0,0
"2023-05-27 08:58:22.75",55,0,0,0,0,0,0
"2023-05-27 08:58:22.8",56,0,0,0,0,0,0
"2023-05-27 08:58:22.85",57,0,0,0,0,0,0
"2023-05-27 08:58:22.9",58,0,0,0,0,0,0
"2023-05-27 08:58:22.95",59,0,0,0,0,0,0
"2023-05-27 08:58:23",60,0,0,0,0,0,0
"2023-05-27 08:58:23.05",61,0,0,0,0,0,0
"2023-05-27 08:58:23.1",62,0,0,0,0,0,0
"2023-05-27 08:58:23.15",63,0,0,0,0,0,0
"2023-05-27 08:58:23.2",64,0,0,0,0,0,0
"2023-05-27 08:58:23.25",65,0,0,0,0,0,0
"2023-05-27 08:58:23.3",66,0,0,0,0,0,0
"2023-05-27 08:58:23.35",67,0,0,0,0,0,0
"2023-05-27 08:58:23.4",68,0,0,0,0,0,0
"2023-05-27 08:58:23.45",69,0,0,0,0,0,0
"2023-05-27 08:58:23.5",70,0,0,0,0,0,0
"2023-05-27 08:58:23.55",71,0,0,0,0,0,0
"2023-05-27 08:58:23.6",72,0,0,0,0,0,0
"2023-05-27 08:58:23.65",73,0,0,0,0,0,0
"2023-05-27 08:58:23.7",74,0,0,0,0,0,0
"2023-05-27 08:58:23.75",75,0,0,0,0,0,0
"2023-05-27 08:58:23.8",76,0,0,0,0,0,0
"2023-05-27 08:58:23.85",77,0,0,0,0,0,0
"2023-05-27 08:58:23.9",78,0,0,0,0,0,0
"2023-05-27 08:58:23.95",79,0,0,0,0,0,0
"2023-05-27 08:58:24",80,0,0,0,0,0,0
